page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
14,34,reference_content,"44. Broeks, M. H., van Karnebeek, C. D. M., Wanders, R. J. A., Jans, J. J. M. & Verhoeven-Duif, N. M. Inborn disorders of the malate aspartate shuttle. J. Inherit. Metab. Dis. 44, 792–808 (2021).","[77.0, 1392.0, 589.0, 1438.0]",reference_item,0.85,"[""reference content label: 44. Broeks, M. H., van Karnebeek, C. D. M., Wanders, R. J. A""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,35,reference_content,"45. Chen, C. T., Shih, Y. R., Kuo, T. K., Lee, O. K. & Wei, Y. H. Coordinated changes of mitochondrial biogenesis and antioxidant enzymes during osteogenic differentiation of human mesenchymal stem ce","[77.0, 1441.0, 583.0, 1487.0]",reference_item,0.85,"[""reference content label: 45. Chen, C. T., Shih, Y. R., Kuo, T. K., Lee, O. K. & Wei, ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,36,reference_content,"46. Kim, S. P. et al. Fatty acid oxidation by the osteoblast is required for normal bone acquisition in a sex- and diet-dependent manner. JCI Insight 2, e92704 (2017).","[609.0, 224.0, 1077.0, 256.0]",reference_item,0.85,"[""reference content label: 46. Kim, S. P. et al. Fatty acid oxidation by the osteoblast""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,37,reference_content,"47. Bartelt, A. et al. Quantification of bone fatty acid metabolism and its regulation by adipocyte lipoprotein lipase. Int. J. Mol. Sci. 18, 1264 (2017).","[610.0, 258.0, 1085.0, 289.0]",reference_item,0.85,"[""reference content label: 47. Bartelt, A. et al. Quantification of bone fatty acid met""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,38,reference_content,"48. Stegen, S. et al. Glutamine metabolism in osteoprogenitors is required for bone mass accrual and PTH-induced bone anabolism in male mice. J. Bone Miner. Res. 36, 604–616 (2021).","[610.0, 290.0, 1118.0, 334.0]",reference_item,0.85,"[""reference content label: 48. Stegen, S. et al. Glutamine metabolism in osteoprogenito""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,39,reference_content,"49. Sharma, D., Yu, Y., Shen, L., Zhang, G. F. & Karner, C. M. SLC1A5 provides glutamine and asparagine necessary for bone development in mice. Elife 10, e71595 (2021).","[610.0, 337.0, 1112.0, 368.0]",reference_item,0.85,"[""reference content label: 49. Sharma, D., Yu, Y., Shen, L., Zhang, G. F. & Karner, C. ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,40,reference_content,"50. Hu, G. Glutathione limits RUNX2 oxidation and degradation to regulate bone formation. JCI Insight 8, e166888 (2023).","[609.0, 369.0, 1116.0, 399.0]",reference_item,0.85,"[""reference content label: 50. Hu, G. Glutathione limits RUNX2 oxidation and degradatio""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,41,reference_content,"51. Berger, J. M. et al. Mediation of the acute stress response by the skeleton. Cell Metab. 30, 890–902 e898 (2019).","[609.0, 401.0, 1121.0, 431.0]",reference_item,0.85,"[""reference content label: 51. Berger, J. M. et al. Mediation of the acute stress respo""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,42,reference_content,"52. Shen, L. et al. SLC38A2 provides proline to fulfill unique synthetic demands arising during osteoblast differentiation and bone formation. Elife 11, e76963 (2022).","[610.0, 433.0, 1090.0, 464.0]",reference_item,0.85,"[""reference content label: 52. Shen, L. et al. SLC38A2 provides proline to fulfill uniq""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,43,reference_content,"53. Shen, L., Yu, Y. & Karner, C. M. SLC38A2 provides proline and alanine to regulate postnatal bone mass accrual in mice. Front. Physiol. 13, 992679 (2022).","[610.0, 466.0, 1074.0, 495.0]",reference_item,0.85,"[""reference content label: 53. Shen, L., Yu, Y. & Karner, C. M. SLC38A2 provides prolin""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
